timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1679496865028,267,S01_T01_LaunchApp,200,"Number of samples in transaction : 29, number of failing samples : 0",Thread Group 1-1,,true,,25654,11700,1,1,null,0,7,2
1679496865028,8,S01_T01_LaunchApp  / ,200,,Thread Group 1-1,text,true,,460,408,1,1,http://localhost:8080/,8,0,2
1679496865037,6,S01_T01_LaunchApp  /actuator/health/ping ,200,,Thread Group 1-1,,true,,533,397,1,1,http://localhost:8080/actuator/health/ping,6,0,0
1679496865043,4,S01_T01_LaunchApp  /actuator/health/ping ,200,,Thread Group 1-1,text,true,,450,340,1,1,http://localhost:8080/actuator/health/ping,3,0,0
1679496865048,19,S01_T01_LaunchApp  /api/v1/content/boxes/headerMessage/?lang=en ,200,,Thread Group 1-1,,true,,533,420,1,1,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,19,0,0
1679496865067,24,S01_T01_LaunchApp  /api/v1/products/group/FEATURED_ITEM?store=DEFAULT&lang=en ,200,,Thread Group 1-1,,true,,533,434,1,1,http://localhost:8080/api/v1/products/group/FEATURED_ITEM?store=DEFAULT&lang=en,24,0,0
1679496865092,11,S01_T01_LaunchApp  /api/v1/content/boxes/headerMessage/ ,404,,Thread Group 1-1,text,true,,522,363,1,1,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,10,0,0
1679496865103,15,S01_T01_LaunchApp  /api/v1/products/group/FEATURED_ITEM ,200,,Thread Group 1-1,text,true,,9311,377,1,1,http://localhost:8080/api/v1/products/group/FEATURED_ITEM?store=DEFAULT&lang=en,14,0,0
1679496865118,17,S01_T01_LaunchApp  /api/v1/store/DEFAULT ,200,,Thread Group 1-1,,true,,533,397,1,1,http://localhost:8080/api/v1/store/DEFAULT,17,0,0
1679496865135,13,S01_T01_LaunchApp  /api/v1/content/pages/?page=0&count=20&store=DEFAULT&lang=en ,200,,Thread Group 1-1,,true,,533,436,1,1,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=DEFAULT&lang=en,13,0,0
1679496865148,3,S01_T01_LaunchApp  /api/v1/store/DEFAULT ,200,,Thread Group 1-1,text,true,,1163,340,1,1,http://localhost:8080/api/v1/store/DEFAULT,3,0,0
